name,culver's
Alabama,1
Alaska,0
Arizona,1
Arkansas,0
California,0
Colorado,1
Connecticut,0
Delaware,0
Florida,1
Georgia,1
Hawaii,0
Idaho,1
Illinois,1
Indiana,1
Iowa,1
Kansas,1
Kentucky,1
Louisiana,0
Maine,0
Maryland,0
Massachusetts,0
Michigan,1
Minnesota,1
Mississippi,0
Missouri,1
Montana,0
Nebraska,1
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,0
North Carolina,1
North Dakota,1
Ohio,1
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,1
South Dakota,1
Tennessee,1
Texas,1
Utah,1
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,1
Wyoming,1
